Project Name,p_link,BHK,Price,Price per Sqft,Area with Type,No_open_sides,Boundary_Wall,Width of Facing road,Ownership,Authority Approved,Corner_Property,Gated Society,Address,Facing,Construction Status,Age Possession/completion date,Property Status,RERA ID,Property ID,Nearby Landmarks,Features,Key Highlights,Open Space (in %),Units Available,Description,Ratings
7 wonders,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-125-sq-yard-spid-E82005748,Residential land / Plot,10.64 Lac,₹946 /sqft,Plot_area 1125 sq.ft.l*b :108 ft.(32.92) m.*75 ft.(22.86) m.,1.0,Yes,39.4 ft,Freehold,,,Yes,"F-16, 7 wonders, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,E82005748,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,The land of opportunities is calling! Own your dream plot in dholera indias smart investment hub! Presenting: 7 wonders by k&t group Where lifestyle meets investment potential Why choose 7 wonders? On 250m wide ahmedabad-Dholera expressway Just 5 km from dholera international airport All east/west facing plots 2 side open land Prime location with high growth returns Project highlights: Land par...,"['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Expressway City - V,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-164-sq-yard-spid-U82769022,Residential land / Plot,13.13 Lac,₹888 /sqft,Plot_area 1479 sq.ft.l*b :*,2.0,Yes,24.6 ft,Freehold,,,Yes,"Dholera Expressway City - V, Dholera, Ahmedabad",,Under Construction,Possession: Dec 2030 *,Resale,not available,U82769022,[],[], ,,,"High-Return proposition & key township cluster in prime destination Dholera expressway city- V is a key cluster of dholera expressway city and dholera expressway avenue within the 52-Acre township development spread across anandpurpipli, strategically located near dholera expressway and dholera international airportmaking it a prime destination for high-Return investments with modern amenities....","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Expressway City - V,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-367-sq-yard-spid-O82768898,Residential land / Plot,29.3 Lac,₹888 /sqft,Plot_area 3299 sq.ft.l*b :*,2.0,Yes,,Freehold,,,Yes,"Dholera Expressway City - V, Dholera, Ahmedabad",East,Under Construction,Possession: Dec 2030 *,Resale,not available,O82768898,[],[], ,,,"High-Return proposition & key township cluster in prime destination Dholera expressway city- V is a key cluster of dholera expressway city and dholera expressway avenue within the 52-Acre township development spread across anandpurpipli, strategically located near dholera expressway and dholera international airportmaking it a prime destination for high-Return investments with modern amenities....","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-400-sq-yard-spid-Z82816042,Residential land / Plot,16 Lac,₹444 /sqft,Plot_area 3600 sq.ft.l*b :*,1.0,Yes,40.0 ft,Freehold,AMC,,Yes,"Dholera, Ahmedabad",North-East,Under Construction,Possession: Within 3 months *,Resale,not available,Z82816042,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,Very good investment near the asia's biggest cargo airport city dulera is first smattest city in india,"['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Dholera Dream City,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-216-sq-yard-spid-V81960266,Residential land / Plot,18.36 Lac,₹944 /sqft,Plot_area 1944 sq.ft.l*b :78 ft.(23.77) m.*27 ft.(8.23) m.,1.0,Yes,39.4 ft,Freehold,AUDA,Yes,,"Dholera Dream City, Dholera, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,V81960266,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']","['East Facing', 'Overlooking Park/Garden', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant']",,,"Discover a world-Class residential project with - Na-Noc ready, govt. Approved plan pass, and title clear property - Strategically located near ahmedabad-Dholera express highway, fedara- Pipli highway, and vataman-Pipli highway - Residential and semi-Commercial options available - Proximity to shri kashtbhanjandev kamiyala dham, mono rail junction, dholera international airport, artificial rive...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Epsilon 7 Wonders Dholera,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-198-sq-yard-spid-V82656994,Residential land / Plot,16.83 Lac,₹944 /sqft,Plot_area 1782 sq.ft.l*b :56 ft.(17.14) m.*24 ft.(7.50) m.,2.0,Yes,43.0 ft,Freehold,AUDA,,Yes,"F-16, Epsilon 7 Wonders Dholera, Ahemdabad, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,V82656994,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"7 wonders by k&t group invest in the future at dholera smart city! The land of opportunities is calling! Own your dream plot in dholera, indias smart investment hub. With only 20 percent loading Presenting: 7 wonders by k&t group Where lifestyle meets investment potential. Why choose 7 wonders? Located on 250m wide ahmedabad-Dholera expressway Just 5 km from the upcoming dholera international a...","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
new project,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-3000-sq-yard-spid-K83262366,Residential land / Plot,2.1 Cr,₹778 /sqft,Plot_area 27000 sq.ft.l*b :*,4.0,,,Freehold,AUDA,,Yes,"new project, Thol, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,K83262366,[],[], ,,,Nature's grove plotting scheme with big size of plot where you build weekend home and villa near thol medha main road developed by nature's edge group.,
Ognaj ,https://www.99acres.com/residential-land-plot-for-sale-in-ognaj-ahmedabad-west-540-sq-yard-spid-T82962826,Residential land / Plot,5.67 Cr,"₹11,667 /sqft",Plot_area 4860 sq.ft.l*b :540 ft.(164.58) m.*180 ft.(54.86) m.,3.0,Yes,39.4 ft,Freehold,"AUDA,AMC",Yes,Yes,"Ognaj , SG Highway",West,Under Construction,Possession: Sep 2025 *,Resale,not available,T82962826,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Ognaj is an ideal location for buying residential plots in ahmedabad west. This plot in ognaj is a great buy for you. The plot is around super built up area of 540 sq.Yards in size. The boundary wall is already build around the plot. To build the residence, possession is expected by september 2025. The property belongs to owner through freehold ownership. This residential plot is all yours for ...","['Connectivity3.8/5', 'Lifestyle3.6/5', 'Safety3.9/5', 'Green Area3.8/5']"
Utsav bunglows /rowhouse,https://www.99acres.com/residential-land-plot-for-sale-in-jai-ambe-nagar-ahmedabad-west-615-sq-yard-spid-S82917296,Residential land / Plot,7 Cr,"₹12,647 /sqft",Plot_area 5535 sq.ft.l*b :660 ft.(201.16) m.*270 ft.(82.29) m.,1.0,Yes,78.7 ft,Freehold,"AMC,AUDA",Yes,Yes,"Utsav bunglows /rowhouse , Jai Ambe Nagar, Thaltej",West,Ready To Move,Possession: Immediate *,Resale,not available,S82917296,"['Gurukul', 'Bank of baroda ATM', 'Axis bank ATM', 'Udit Hospital Multi Speciality', 'Surveen Children Hospital And Vaccination Centre', 'Sal Hospital and Medical Institute', 'Samarpan Maternity And Urosurgical Hospital', 'Mehta Hospital Siddhachal', 'Chandandwar Hospital', 'Dr. Manish Goyal', 'Raghudeep Eye Clinic', 'Apex Heart Institute', 'Neil Hospital Ahmedabad', ""Rainbow Super Speciality Children's Hospital"", 'Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.', 'P.N.Desai Eye Hospital', 'Arthro Care Hospital', 'Kidney And Urology Hospital', 'Aroma Womens Hospital', 'Nandan Maternity Home', 'Sharda Eye Hospital Phaco And Laser Centre - Ahmedabad', 'Chandrabhan Hospital and Gynac Institute', 'Shraddha Surgical Hospital Ahmedabad', 'Shri Gordhandas Charitable Hospital', 'Shree Raj Hospital Ahmedabad', 'Shreeji Orthopaedic And Ent Hospital', 'Vatsalya Children Hospital Ahmedabad', 'Jain Hospital And Icu Ahmedabad', ""Brinda Women's Hospital"", 'little flower', 'Uro Care', 'Shreekrishna Hospital and Health Care Centre', 'Shashwat Hospital and Research Center Ahmedabad', 'Aditya Eye Hospital Ahmedabad', 'Netram Care Eye Hospital', 'Aayush Surgical Hospital', 'Rushabh Uro Hospital', 'Om Children Hospital', 'Milan Orthopaedic and Fracture Hospital', 'Ramanand gurukul swastik hall', 'Shangrila Bunglows', 'Indian oil', 'PVR acropolis mall', 'Adlabs BIG Cinema', 'V.Desi Food Couet', 'Barbeque Nation', 'Subway', 'Nirma School', 'Indian Institute Of Management', 'Azista Aerospace']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Spacious, ready to build plot in jai ambe nagar, ahmedabad west. This 615 sq.Yards super built up area plot is your opportunity to build a exceptional residence. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 7 crore and it is ...",
Shela,https://www.99acres.com/residential-land-plot-for-sale-in-shela-ahmedabad-west-1555-sq-yard-spid-C82912416,Residential land / Plot,12.44 Cr,"₹8,889 /sqft",Plot_area 13995 sq.ft.l*b :660 ft.(201.16) m.*270 ft.(82.29) m.,2.0,Yes,39.4 ft,Freehold,,Yes,Yes,"Shela, Ahmedabad",West,Ready To Move,Possession: Immediate *,Resale,not available,C82912416,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Looking for a plot in a prime location of ahmedabad west? This plot in vraj garden,b/h applewood township,shela is the best deal for you. It's a 1555 sq.Yards super built up area property. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property is owned under freehold contract. The plot is available a...","['Connectivity4/5', 'Lifestyle4.1/5', 'Safety4.2/5', 'Green Area4.3/5']"
